Epoch,Train_loss,Valid_loss,Train_acc,Valid_acc
177,1.08,1.16,0.66,0.62
178,1.00,1.12,0.68,0.62
179,0.94,1.14,0.68,0.62
180,0.97,1.14,0.66,0.60
181,0.97,1.10,0.69,0.63
182,0.92,1.06,0.70,0.63
183,0.90,1.06,0.71,0.65
184,0.88,1.10,0.69,0.62
185,0.93,1.14,0.68,0.62
186,0.97,1.12,0.69,0.63
187,0.94,1.17,0.67,0.61
188,1.00,1.05,0.72,0.65
189,0.87,1.06,0.71,0.65
190,0.89,1.13,0.68,0.62
191,0.95,1.17,0.67,0.61
192,0.97,1.13,0.67,0.62
193,0.98,1.07,0.71,0.64
194,0.89,1.03,0.72,0.65
195,0.86,1.12,0.70,0.64
196,0.90,1.20,0.65,0.60
197,1.02,1.20,0.66,0.60
198,1.01,1.07,0.72,0.65
199,0.90,0.99,0.74,0.67
200,0.81,1.00,0.74,0.66
201,0.80,1.06,0.72,0.65
202,0.84,1.13,0.69,0.62
203,0.92,1.14,0.68,0.63
204,0.94,1.05,0.71,0.65
205,0.86,1.11,0.70,0.63
206,0.91,1.09,0.70,0.64
207,0.90,1.08,0.72,0.65
208,0.85,1.03,0.70,0.64
209,0.87,1.12,0.69,0.62
210,0.90,1.10,0.69,0.63
211,0.91,1.07,0.71,0.64
212,0.85,1.06,0.73,0.66
213,0.83,1.05,0.72,0.64
214,0.85,1.01,0.74,0.67
215,0.79,1.00,0.75,0.68
216,0.78,1.00,0.74,0.67
217,0.78,1.08,0.72,0.66
218,0.83,1.21,0.66,0.61
219,1.03,1.08,0.70,0.64
220,0.89,1.05,0.72,0.65
221,0.83,1.05,0.72,0.65
222,0.84,0.96,0.75,0.67
223,0.77,0.98,0.76,0.67
224,0.75,0.97,0.76,0.67
225,0.76,1.00,0.76,0.68
226,0.77,1.04,0.73,0.66
227,0.81,1.02,0.75,0.67
228,0.77,0.98,0.76,0.67
229,0.76,1.03,0.75,0.67
230,0.75,1.02,0.73,0.66
231,0.80,1.19,0.69,0.63
232,0.95,1.01,0.73,0.65
233,0.80,0.98,0.76,0.68
234,0.75,0.98,0.76,0.66
235,0.74,0.98,0.77,0.68
236,0.73,1.00,0.76,0.67
237,0.75,1.00,0.76,0.68
238,0.73,1.01,0.75,0.66
239,0.76,1.11,0.71,0.64
240,0.83,1.24,0.66,0.58
241,0.97,1.04,0.73,0.65
242,0.83,0.97,0.77,0.68
243,0.72,0.93,0.79,0.70
244,0.69,0.94,0.78,0.69
245,0.68,0.96,0.78,0.68
246,0.71,1.06,0.74,0.65
247,0.77,1.11,0.71,0.64
248,0.88,1.01,0.75,0.66
249,0.76,0.98,0.78,0.67
250,0.73,1.02,0.74,0.67
